"AGE","ECONPRIM","ETHGROUP","MSTATUS","QUALNUM","SEX","SOCLASS","HHSPTYPE","TENURE","COBIRTH_dv","COBIRTH"
0,NA,"White","Single","0","Male",NA,"Flat-res","Rent LA","UK","1"
0,NA,"Chinese","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
0,NA,"Black Afr","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
0,NA,"Black Car","Single","0","Female",NA,NA,NA,"UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
0,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
0,NA,"Pakistani","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
0,NA,"Other","Single","0","Male",NA,NA,NA,"UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
0,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
0,NA,"White","Single","0","Male",NA,"Flat-res","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Detached","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Rent job","UK","1"
0,NA,"Black Oth","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent priv furn","UK","1"
0,NA,"Other","Single","0","Female",NA,"Semi-det","Rent job","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
0,NA,"Black Car","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Conv Flat","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Conv Flat","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Flat-res","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Flat-res","Rent LA","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
0,NA,"White","Single","0","Female",NA,"Flat-res","Rent HsAssoc","UK","1"
0,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
0,NA,"Other","Single","0","Female",NA,NA,NA,"UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ outr","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
0,NA,"Pakistani","Single","0","Male",NA,"Terraced","Own-occ outr","UK","1"
0,NA,"Pakistani","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
0,NA,"White","Single","0","Male",NA,"Flat-res","Rent HsAssoc","UK","1"
0,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
0,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
0,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
